YADG-MONOMER	EG12320	P36879	putative transport protein, ABC superfamily - ATP-binding component	YadG
G6856-MONOMER	G6856	P76176	predicted peptidase	YdgD
EG10434-MONOMER	EG10434	P0ACB7	predicted protoheme IX synthesis protein	HemY
EG11178-MONOMER	EG11178	P0A7G2	30S ribosome binding factor	YhbB, RbfA
G7298-MONOMER	G7298	P64429	conserved protein	YpfJ
G7744-MONOMER	G7744	P0A6Y5	molecular chaperone Hsp33	YrfI, HslO, Hsp33
EG11831-MONOMER	EG11831	P0C0K3	serine/threonine protein kinase	OrfA, RdoA, YihE
MALX-MONOMER	EG10563	P19642	MalX PTS permease	EIIBC<sup>malX</sup>, Enzyme IIBC<sup>malX</sup>
EG12657-MONOMER	EG12657	P0ADU2	quinol monooxygenase	YgiN
ORNDECARBOXDEG-MONOMER	EG10964	P24169	ornithine decarboxylase, degradative	SpeF
APPC-MONOMER	EG11380	P26459	cytochrome <i>bd</i>-II terminal oxidase subunit I	CyxA, CbdA, AppC
G6384-MONOMER	G6384	P75747	predicted regulator	YbgN, AbrB
USHA-MONOMER	EG11060	P07024		UshA
G6836-MONOMER	G6836	P0CF60	Qin prophage; predicted transposase	InsD
EG10347-MONOMER	EG10347	P0A9A6	essential cell division protein FtsZ	SulB, SfiB, FtsZ
EG11155-MONOMER	EG11155	P08370	predicted protein	YgdB
G7280-MONOMER	G7280	P76550	CPZ-55 prophage; predicted protein	YffS
G7728-MONOMER	G7728	P45545	conserved protein	YhfS
EG11806-MONOMER	EG11806	P33218	conserved inner membrane protein	YebE
LYSU-MONOMER	EG10553	P0A8N5	lysyl-tRNA synthetase	LysU
EG12445-MONOMER	EG12445	P38101	O-Acetylserine / cysteine export protein	EamB, YfiK
NUPC-MONOMER	EG11971	P0AFF2	nucleoside:H<sup>+</sup> symporter NupC	Cru, NupC, NupC nucleoside NUP transporter
AMINEOXID-MONOMER	EG13139	P46883	TynA	MaoA, FeaA
G6358-MONOMER	G6358	P41409	ribonucleoside hydrolase 1 (pyrimidine-specific)	YbeK, RihA
UDPNACETYLMURAMATEDEHYDROG-MONOMER	EG11205	P08373	UDP-<i>N</i>-acetylenolpyruvoylglucosamine reductase	YijB, MurB
G6820-MONOMER	G6820	P76155	Qin prophage; predicted tail fibre assembly protein	TfaQ, YdfM
EG10311-MONOMER	EG10311	P30130	FimD monomer	FimD_1, FimD, FimD_2
EG11133-MONOMER	EG11133	P23898	NlpC-putative lipoprotein hydrolase	NlpC
G7263-MONOMER	G7263	P76535	<i>N</i>-acetylmuramic acid 6-phosphate etherase	YfeU, MurQ
G7710-MONOMER	G7710	P45762	putative protein secretion protein for export	YheJ, GspK
EG11780-MONOMER	EG11780	P32051	predicted lipoprotein	YdeK, OrfT
LIPIDADISACCHARIDESYNTH-MONOMER	EG10546	P10441	LpxB	PgsB
EG12406-MONOMER	EG12406	P0ACU0	predicted DNA-binding transcriptional regulator	YbiH
NRFC-MONOMER	EG11946	P0AAK7	formate-dependent nitrite reductase, 4Fe-4S subunit	YjcJ, NrfC
AICARTRANSIMPCYCLO-CPLX	EG10795	P15639		PurH
G6332-MONOMER	G6332	P77746	predicted DNA-binding transcriptional regulator LYSR-type	YbdO
TYRS-MONOMER	EG11043	P0AGJ9	tyrosyl-tRNA synthetase	TyrS
G6799-MONOMER	G6799	P76141	LsrR	YdeW, LsrR
EG10271-MONOMER	EG10271	P0ABU7	TonB energy transducing system - ExbB subunit	ExbB
EG11117-MONOMER	EG11117	P0AB26	predicted lipoprotein	YceB
G7243-MONOMER	G7243	P0AA93	YpdA sensory histidine kinase	YpdA
G7693-MONOMER	G7693	P45566	conserved inner membrane protein	YhdT
EG11759-MONOMER	EG11759	P31808	predicted oxidoreductase	YciK
KUP-MONOMER	EG11541	P63183		TrkD, Kup
EG12384-MONOMER	EG12384	P37306	predicted carbamate kinase	YbcF
NICOTINAMID-MONOMER	EG11135	P21369		Nam, YdjB, PncA
ADENODEAMIN-MONOMER	EG10030	P22333	adenosine deaminase	Add
G6314-MONOMER	G6314	P64435	DLP12 prophage; predicted protein	YbcW
TREHALOSE6PSYN-MONOMER	EG11751	P31677		OtsA
G6776-MONOMER	G6776	P76127	biofilm-dependent modulation protein	YddX, Bdm, f92
EG10236-MONOMER	EG10236	P0ACB0	DnaB	GrpD, GrpA, GroP
EG11094-MONOMER	EG11094	P0AG76	ATP dependent, structure specific DNA nuclease - SbcD subunit	YajA, SbcD, orf-45
G7225-MONOMER	G7225	P76509	CPS-53 (KpLE1) prophage; predicted methyltransferase	YzyB, YfdM
G7671-MONOMER	G7671	P45421	predicted protein, N-ter fragment (pseudogene)	YhcE
EG11731-MONOMER	EG11731	P31473	regulatory ATPase	YieN, RavA
IPPISOM-MONOMER	G7508	Q46822	isopentenyl diphosphate isomerase	YgfV, Idi
EG12357-MONOMER	EG12357	P38135	short chain acyl-CoA synthetase	FadK, YdiD
NAPG-MONOMER	EG12064	P0AAL3	ferredoxin-type protein	YojB, YojA, NapG
ACETYLGLUTKIN-MONOMER	EG10064	P0A6C8	acetylglutamate kinase monomer	ArgB
G6293-MONOMER	G6293	P75715	predicted fimbrial-like adhesin protein	SfmH
THYMIDYLATESYN-MONOMER	EG11002	P0A884	thymidylate synthase	ThyA
G6758-MONOMER	G6758	P76111	predicted inner membrane protein	YdcZ
EG10169-MONOMER	EG10169	P08550	membrane protein required for colicin V production	DedE, CvpA
EG11072-MONOMER	EG11072	P04994	exonuclease VII, large subunit	Xse, XseA
G7208-MONOMER	G7208	P77196	fimbrial usher protein, C-terminal fragment	YfcT
G7651-MONOMER	G7651	P64599	predicted lipid carrier protein	YhbT
EG11708-MONOMER	EG11708	P31450	predicted phospho-glucosidase, truncated	YidM, GlvG
HYCBSMALL-MONOMER	EG10475	P0AAK1	hydrogenase 3, Fe-S subunit	HevB, HycB
EG12332-MONOMER	EG12332	P0ACC3	essential respiratory protein A	YadR, ErpA
NACMURLALAAMI2-MONOMER	EG11363	P26365	N-acetylmuramoyl-L-alanine amidase B	YjeD, AmiB, N-acetylmuramoyl-L-alanine amidase 2
6PFK-2-MONOMER	EG10700	P06999	6-phosphofructokinase-2 monomer	PfkB
G6274-MONOMER	G6274	P0ACR0	AllS transcriptional activator	AllS, YbbS, GlxA1
THI-P-KIN-MONOMER	G6234	P0AGG0	thiamine monophosphate kinase	ThiJ, ThiL, ATP:thiamine-phosphate phosphotransferase
G6731-MONOMER	G6731	P41407	NADH:quinone oxidoreductase, FMN-dependent	AzoR, AcpD
EG10124-MONOMER	EG10124	P20099	biotin sulfoxide reductase	BisC
EG11033-MONOMER	EG11033	P0A6P1	protein chain elongation factor EF-Ts	Tsf, EF1B
G7190-MONOMER	G7190	P39263	predicted inner membrane protein	YfcC
G7634-MONOMER	G7634	P42907	putative tagatose-6-phosphate aldose/ketose isomerase	YraB, AgaS
EG11681-MONOMER	EG11681	P0AFX0	hibernation promoting factor	YhbH, Hpf
HISS-MONOMER	EG10453	P60906	histidyl-tRNA synthetase	HisS
EG12309-MONOMER	EG12309	P37005	predicted rRNA methyltransferase	LasT, YjtD
MONOMER0-741	G372	P0A8K5	conserved protein	YaeP
G6251-MONOMER	G6251	P0AFP2	DNA base-flipping protein	YbaZ, Atl
SUGE-MONOMER	EG11616	P69937	putative transport protein, small multidrug resistance (SMR) family	SugE
G6712-MONOMER	G6712	P76080	phenylacetate degradation protein	YdbQ, PaaD
EG10042-MONOMER	EG10042	P0AE14	predicted inner membrane protein	AmpE
EG10986-MONOMER	EG10986	P05100	3-methyl-adenine DNA glycosylase I, constitutive	TagA, Tag
G7173-MONOMER	G7173	P0AEH5	conserved protein	YfbD, ElaB
G7613-MONOMER	G7613	P64585	conserved inner membrane protein	YqjE
EG11651-MONOMER	EG11651	P30866	predicted S-adenosylmethionine-dependent methyltransferase	YafE
H2NEOPTERINP3PYROPHOSPHOHYDRO-MONOMER	EG11138	P0AFC0	dihydroneopterin triphosphate pyrophosphohydrolase	NudB, NtpA, YebD, Orf17
EG12280-MONOMER	EG12280	P37673	conserved protein	YiaL
G6225-MONOMER	G6225	P77199	predicted protein	YaiU
SMALLILVN-MONOMER	EG10502	P0ADF8	acetohydroxy acid synthase I, small subunit	IlvN
G6695-MONOMER	G6695	P76072	putative membrane protein	YnaB, StfR
E1O-MONOMER	EG10979	P0AFG3	subunit of E1(0) component of 2-oxoglutarate dehydrogenase	Lys, SucA, E1(o) subunit
EG10949-MONOMER	EG10949	P0A823	predicted DNA-binding transcriptional regulator of maltose metabolism	Sfs, SfsA
G7155-MONOMER	G7155	P76464	predicted protein, N-ter fragment	YfaS_1, YfaS
G7596-MONOMER	G7596	P42588	putrescine aminotransferase	PatA, YgjG, Oat, Pat
EG11605-MONOMER	EG11605	P0A828	conserved protein	Smg
GNTT-MONOMER	EG12380	P39835	gluconate transporter GntT	YhgC, UsgA, GntM, GntT
EG12259-MONOMER	EG12259	P37652	cellulose synthase, periplasmic subunit	BcsB, YhjN
MONOMER0-4247	G0-10530		IS3 element transposase	
G6195-MONOMER	G6195	P77743	PrpR DNA-binding transcriptional dual regulator	YahP, PrpR
SECE	EG10939	P0AG96	SecE	MbrC, PrlG
G6676-MONOMER	G6676	P76056	Rac prophage; predicted integrase	YdaP, IntR
DPPB-MONOMER	EG12625	P0AEF8	dipeptide ABC transporter - putative membrane subunit	DppB
EG10914-MONOMER	EG10914	P0ADZ4	30S ribosomal subunit protein S15	SecC, RpsO
G7128-MONOMER	G7128	P0C8J8	tagatose-1,6-bisphosphate aldolase 2 subunit GatZ	GatZ
G7574-MONOMER	G7574	P0ADU5	stress-induced protein	VisP, YgiW
EG11571-MONOMER	EG11571	P30149	conserved inner membrane protein	YabI
GLYCEROL-KIN-MONOMER	EG10398	P0A6F3	GlpK	
EG12235-MONOMER	EG12235	P37309	ArsR	ArsE
MONOMER0-4231	G0-10538		InsAB' transposase	
G6177-MONOMER	G6177	P77536	predicted amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain	YkgF
G6658-MONOMER	G6658	P77615	predicted DNA-binding transcriptional regulator, LacI type	YcjW
DIHYDRONEOPTERIN-MONO-P-DEPHOS-MONOMER				
G7104-MONOMER	G7104	P77414	predicted colanic acid biosynthesis glycosyl transferase	WcaA
EG10901-MONOMER	EG10901	P0A7V0	30S ribosomal subunit protein S2	RpsB
G7551-MONOMER	G7551	Q46843	predicted protein with nucleoside triphosphate hydrolase domain	YghS
EG11538-MONOMER	EG11538	P31825	tRNA m<sup>6</sup>A37 methyltransferase	TrmM, YfiC
GLUTAMINB-MONOMER			glutaminase B monomer	
EG12210-MONOMER	EG12210	P37692	ADP-heptose:LPS heptosyltransferase II	WaaF, RfaF
EG12180-MONOMER	EG12180	P37001	PagP monomer	YbeG, CrcA, PagP
G6158-MONOMER	G6158	P0AAA1	inner membrane protein that contributes to acid resistance	YagU
RIBOFLAVIN-SYN-MONOMER	EG11406	P0AFU8		RibC, RibE
G6636-MONOMER	G6636	P45848	predicted inner membrane protein	YciP, YciQ
DEHYDDEOXPHOSGALACT-ALDOL-MONOMER	EG20049	Q6BF16		YidU, DgoA
G7086-MONOMER	G7086	P64526	CP4-44 prophage; predicted protein	YeeW
EG10880-MONOMER	EG10880	P0A7K6	50S ribosomal subunit protein L19	RplS
G7532-MONOMER	G7532	P0A8P3	protein that protects iron-sulfur proteins against oxidative damage	YggX
EG11516-MONOMER	EG11516	P29013	conserved protein	YcgB
GLUC1PADENYLTRANS-MONOMER	EG10379	P0A6V1	GlgC	
EG12190-MONOMER	EG12190	P36547	putative ARAC-type regulatory protein	EutR, YfeG
EG12154-MONOMER	EG12154	P38392	Rac prophage; phage superinfection exclusion protein	SieB
MONOMER0-2880	G0-10653	C1P605	small membrane protein	AzuC
G6139-MONOMER	G6139	P0CF08	IS1 protein InsA	InsA-2
RBSB-MONOMER	EG10815	P02925	ribose ABC transporter - putative periplasmic binding protein	RbsP, PrlB
G6618-MONOMER	G6618	P0A8L5	conserved protein	YcgN
CYST-MONOMER	EG10197	P16701	sulfate / thiosulfate ABC transporter - membrane subunit	CysT
G7065-MONOMER	G7065	P76349	predicted protein, C-terminal fragment	YeeL_2, YeeL
EG10862-MONOMER	EG10862	P0A7Y8	RNase P protein component; processes tRNA, 4.5S RNA	RnpA
G7515-MONOMER	G7515	P64562	conserved protein	YqfE
EG11495-MONOMER	EG11495	P0AET5	acid-resistance membrane protein	YhiA, HdeD
GKI-MONOMER	EG11175	P23524	glycerate kinase I	YhaD, GarK
EG12120-MONOMER	EG12120	P0AFR0	conserved protein	RssA, YchK
MONOMER0-2857	G0-10631	C1P615	toxic peptide IbsC	IbsC
G6120-MONOMER	G6120	P77692	CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system	YkfI
CYCA-MONOMER	EG12504	P0AAE0	serine / alanine / glycine / cycloserine:H<sup>+</sup>symporter	YtfD, DagA, CycA, CycA APC transporter
G7049-MONOMER	G7049	P76330	predicted diguanylate cyclase	DgcQ, YedQ
EG10846-MONOMER	EG10846	P16916	RhsA protein in rhs element	RhsA
G7495-MONOMER	G7495	Q46809	conserved protein	YqeC
EG11462-MONOMER	EG11462	P27840	predicted protein	YigE
GALACTONATE-DEHYDRATASE-MONOMER	GB4478	Q6BF17		YidU, DgoD
EG12099-MONOMER	EG12099	P0A6N4	protein chain elongation factor EF-P	Efp, EF-P
MONOMER0-2822	G0-10594	A5A618	small stress response membrane protein	YnhF
G6103-MONOMER	G6103	Q47679	predicted C-N hydrolase family amidase, NAD(P)-binding	YafV
PROV-MONOMER	EG10771	P14175	glycine betaine / proline ABC transporter - ATP binding subunit	ProU, OsrA, ProV
CMTA-MONOMER	EG11792	P69826	predicted PTS permease - CmtA subunit	EIICB<sup>Cmt</sup>, Enzyme IICB<sup>Cmt</sup>
ZNUC-MONOMER	G7018	P0A9X1	Zn<sup>2+</sup> ABC transporter - ATP binding subunit	YebM
G6589-MONOMER	G6589	P75974	e14 prophage; predicted repressor protein	YmfK
G7027-MONOMER	G7027	P76297	flagellar protein	FlhE
EG10826-MONOMER	EG10826	P04993	RecD	HopE
EG11425-MONOMER	EG11425	P27240	lipopolysaccharide core heptose (II) kinase	WaaY, RfaY
G7482-MONOMER	G7482	Q46796	predicted protein	YgeP
G7952-MONOMER	G7952	P39408	predicted DNase	YjjV
EG12044-MONOMER	EG12044	P0AA43	16S rRNA pseudouridine 516 synthase	YejD, RsuA
MONOMER0-2780	G0-10558		predicted transposase, N-ter fragment	YncK_1
G379-MONOMER	G379	P52614	flagellar hook-length control protein FliK	FlaE, FliK
POTH-MONOMER	EG11631	P31135	putrescine ABC transporter - membrane subunit	
CHAINF-MONOMER	EG10067	P06960	ArgF	
YNFJ-MONOMER	G6850	P76175		MriT, ClcB, YnfJ
G6569-MONOMER	G6569	P75952	ComR DNA-binding transcriptional repressor	ComR, YcfQ
G7009-MONOMER	G7009	P64503	predicted protein	YebV
EG10763-MONOMER	EG10763	P17888	primosome factor N'	SrgA, replication factor Y, PriA
EG11394-MONOMER	EG11394	P0ACU5	FabR DNA-binding transcriptional repressor	FabR, YijC
G7464-MONOMER	G7464	Q46939	predicted acyltransferase	YqeF
G7934-MONOMER	G7934	P39387	predicted DNA-modifying enzyme	YjiQ, YjiP
EG12020-MONOMER	EG12020	P33369	putative channel/filament protein	YohH, MdtQ, YohG
MONOMER0-2696	G0-10474	P55914	predicted protein	YjjZ
FUCPALDOL-MONOMER	EG10348	P0AB87		Prd, FucC, FucA
PHOSPHOGLUCMUT-MONOMER	EG12144	P36938		Blu, Pgm
CARBPSYN-LARGE	EG10135	P00968	carbamoyl phosphate synthetase, &beta; chain	CarB, Cap, PyrA, &beta; chain, large chain
G6549-MONOMER	G6549	P75917	predicted protein	YmdA
G6992-MONOMER	G6992	P76257	putative 5' to 3' DNA helicase implicated in DNA repair	YoaA
EG10724-MONOMER	EG10724	P16691	aminoalkylphosphonate <i>N</i>-acetyltransferase	PhnO
EG11362-MONOMER	EG11362	P27305	glutamyl-Q tRNA<sup>Asp</sup> synthetase	GluQ, YadB
G7448-MONOMER	G7448	P65367	predicted flavoprotein	YqcA
G7918-MONOMER	G7918	P39369	KpLE2 phage-like element; predicted frameshift suppressor	YjhR
EG11992-MONOMER	EG11992	P33345	molybdate metabolism regulator (interrupted)	MolR_1, MolR, YehH, YehG, YehF
MONOMER0-2680	G0-10458	P33347	predicted protein	YehK
FORMYLTHFDEFORMYL-MONOMER	EG11819	P37051	formyltetrahydrofolate deformylase	YchI, Tgs, PurU
PHNC-MONOMER	EG10713	P16677	phosphonate ABC transporter - ATP binding subunit	
BIOTIN-CARBOXYL-MONOMER	EG10276	P24182	AccC	FabG
G6529-MONOMER	G6529	P75905	poly-&beta;-1,6-N-acetyl-D-glucosamine synthase - PgaC subunit	YcdQ, HmsR, PgaC
YIFK-MONOMER	EG11459	P27837	putative transport protein, amino acid transporter family	YifK
G6974-MONOMER	G6974	P76239	predicted protein	YoaI
EG10689-MONOMER	EG10689	P0A7A5	L-isoaspartate protein carboxylmethyltransferase type II	Pcm
EG11340-MONOMER	EG11340	P25741	lipopolysaccharide core heptose (I) kinase	WaaP, RfaP
G7427-MONOMER	G7427	Q46898	Cascade subunit D	YgcI, CasD, Cas5e
G7901-MONOMER	G7901	P39353	KpLE2 phage-like element; predicted oxidoreductase	YjhC
EG11972-MONOMER	EG11972	P33129	putative outer membrane usher protein	HtrE
G7424-MONOMER	G7424	P0A6S5	essential cell division protein FtsB	FtsB, YgbQ
G7898-MONOMER	G7898	P39349	KpLE2 phage-like element; predicted protein, N-ter fragment	YjgY
EG11967-MONOMER	EG11967	P33235	flagellar biosynthesis, hook-filament junction protein 1	FlaS, FlgK
MONOMER0-2657	G0-10435	Q47272	DLP12 prophage; small protein	YlcG
FHUC-MONOMER	EG10304	P07821	iron (III) hydroxamate ABC transporter - ATP binding subunit	
PEPCARBOXYKIN-MONOMER	EG10688	P22259		Pck, PckA
B2322-MONOMER	G7198	P77549	putative transport protein, major facilitator superfamily	YfcJ
G6504-MONOMER	G6504	P0A932	predicted exopolysaccharide export protein	YccZ, GfcE
YHFC-MONOMER	EG11262	P60778	putative transport protein, major facilitator superfamily (MFS), implicated in the response to tellurite and selenite	GutS, YhfH, TsgA, YhfC
G6953-MONOMER	G6953	P76226	predicted phosphatidyl transferase, inner membrane protein	YnjF
EG10651-MONOMER	EG10651	P0A6C1	endonuclease IV	Nfo
EG11300-MONOMER	EG11300	P0ACW8	Qin prophage; predicted protein	YdfA
G7405-MONOMER	G7405	P76630	L-valine efflux transporter - YgaZ subunit	YgaZ, YgaZ L-valine LIV-E exporter
G7876-MONOMER	G7876	P0AE48	conserved protein	YtfP
EG11937-MONOMER	EG11937	P32700	uncharacterized protein	YjcB
FCL-MONOMER	EG11788	P32055		YefB, WcaG, Fcl
PD03695	EG10166	P0A9X9	CspA DNA-binding transcriptional activator	CspA, major cold shock protein 7.4, CS7.4, F10.6, cold shock protein CspA
B1596-MONOMER	G6854	P43531	putative transport protein, major facilitator superfamily	YzyC, YnfM
G6486-MONOMER	G6486	P75862	cell division factor ZapC, localizes to the cytokinetic ring	ZapC, YcbW
YGFU-MONOMER	G7507	Q46821	urate:H<sup>+</sup> symporter	UacT, YgfU
G6929-MONOMER	G6929	P64479	predicted protein	YdiZ
EG10603-MONOMER	EG10603	P0ACR9	MprA DNA-binding transcriptional repressor	MprA, EmrR
EG11267-MONOMER	EG11267	P11286	conserved inner membrane protein	YiaB
G7379-MONOMER	G7379	P52140	CP4-57 prophage; predicted DNA repair protein	YfjY
G7860-MONOMER	G7860	P39306	L-ribulose 5-phosphate 4-epimerase	YjfX, SgaE, UlaF
EG11920-MONOMER	EG11920	P0A7C6	peptidase E, a dipeptidase where amino-terminal residue is aspartate	PepE
MONOMER0-153	EG11282	P23482	hydrogenase 4, component B	YffF, HyfB
ENTC-MONOMER	EG10261	P0AEJ2	isochorismate synthase 1	FepF, EntC, isochorismate synthase, enterobactin-specific
PD01343	EG11540	P0A8G6	NAD(P)H:quinone oxidoreductase	WrbA
B0070-MONOMER	EG11754	P31675		SetA, YabM
G6467-MONOMER	G6467	P75836	putative transcriptional regulator LYSR-type	YcaN
YEAV-MONOMER	G6987	P0ABD1	putative transport protein, betaine/carnitine/choline transporter family	YeaV
G6911-MONOMER	G6911	P64476	predicted protein	YdiH
EG10548-MONOMER	EG10548	P00804	prolipoprotein signal peptidase II	LspA, Lsp, signal peptidase II, leader peptidase II, SPase II, diacylglycerol prolipoprotein signal peptidase, premurein-leader peptidase
EG11246-MONOMER	EG11246	P0AAC0	universal stress protein with a role cellular motility	UspE, YdaA
G7363-MONOMER	G7363	P52127	CP4-57 prophage; anti-bacteriophage protein	AbpA, YfjL
G7842-MONOMER	G7842	P0A784	oligoribonuclease monomer	YjeR, Orn
EG11900-MONOMER	EG11900	P33229	Rac prophage; DNA endonuclease toxin of the RalRA toxin-antitoxin system, restriction alleviation and modification enhancement	RalR, YdaB, Lar
MONOMER0-12	G0-10439	P36937	K<sup>+</sup> transporting ATPase - KdpF subunit	KdpF
